SNo,Date,Covid Status
2627,3/11/2017,0
2628,3/12/2017,0
2629,3/13/2017,0
2630,3/14/2017,0
2631,3/15/2017,0
2632,3/16/2017,0
2633,3/17/2017,0
2634,3/18/2017,0
2635,3/19/2017,0
2636,3/20/2017,0
2637,3/21/2017,0
2638,3/22/2017,0
2639,3/23/2017,0
2640,3/24/2017,0
2641,3/25/2017,0
2642,3/26/2017,0
2643,3/27/2017,0
2644,3/28/2017,0
2645,3/29/2017,0
2646,3/30/2017,0
2647,3/31/2017,0
2648,4/1/2017,0
2649,4/2/2017,0
2650,4/3/2017,0
2651,4/4/2017,0
2652,4/5/2017,0
2653,4/6/2017,0
2654,4/7/2017,0
2655,4/8/2017,0
2656,4/9/2017,0
2657,4/10/2017,0
2658,4/11/2017,0
2659,4/12/2017,0
2660,4/13/2017,0
2661,4/14/2017,0
2662,4/15/2017,0
2663,4/16/2017,0
2664,4/17/2017,0
2665,4/18/2017,0
2666,4/19/2017,0
2667,4/20/2017,0
2668,4/21/2017,0
2669,4/22/2017,0
2670,4/23/2017,0
2671,4/24/2017,0
2672,4/25/2017,0
2673,4/26/2017,0
2674,4/27/2017,0
2675,4/28/2017,0
2676,4/29/2017,0
2677,4/30/2017,0
2678,5/1/2017,0
2679,5/2/2017,0
2680,5/3/2017,0
2681,5/4/2017,0
2682,5/5/2017,0
2683,5/6/2017,0
2684,5/7/2017,0
2685,5/8/2017,0
2686,5/9/2017,0
2687,5/10/2017,0
2688,5/11/2017,0
2689,5/12/2017,0
2690,5/13/2017,0
2691,5/14/2017,0
2692,5/15/2017,0
2693,5/16/2017,0
2694,5/17/2017,0
2695,5/18/2017,0
2696,5/19/2017,0
2697,5/20/2017,0
2698,5/21/2017,0
2699,5/22/2017,0
2700,5/23/2017,0
2701,5/24/2017,0
2702,5/25/2017,0
2703,5/26/2017,0
2704,5/27/2017,0
2705,5/28/2017,0
2706,5/29/2017,0
2707,5/30/2017,0
2708,5/31/2017,0
2709,6/1/2017,0
2710,6/2/2017,0
2711,6/3/2017,0
2712,6/4/2017,0
2713,6/5/2017,0
2714,6/6/2017,0
2715,6/7/2017,0
2716,6/8/2017,0
